score,domain,https,mobile,builder,year,email,phone,reason
0,e3customs.com,yes,yes,-,,,,"the site is dated and plain — a modern refresh would stand out"
0,carupholsteryorlando.com,yes,yes,-,2026,,689-214-4914,"the site is dated and plain — a modern refresh would stand out"
0,riveroauto.com,yes,yes,-,,,786-471-0396,"the site is dated and plain — a modern refresh would stand out"
0,biblesautointeriors.com,yes,yes,-,2026,,407-290-3444,"the site is dated and plain — a modern refresh would stand out"
4,sargentupholstery.com,yes,no,-,2026,sales@sargentupholstery.com,904.355.2529,"the site doesn't resize for phones, which is where most customers will find you"
2,orlandoautoupholstery.com,yes,yes,-,,,407.898.2351,"the site is dated and plain — a modern refresh would stand out"
0,customautotrimfl.com,yes,yes,-,,catrim@att.net,561-278-8434,"the site is dated and plain — a modern refresh would stand out"
0,bahamasupholsterymiami.com,yes,yes,-,2026,,(305) 262-0504,"the site is dated and plain — a modern refresh would stand out"
0,alltransmissionworld.com,yes,yes,-,,1TransmissionMan@gmail.com,407-880-9300,"the site is dated and plain — a modern refresh would stand out"
3,atlas-transmission.com,yes,no,-,2026,,(561) 582-3499,"the site doesn't resize for phones, which is where most customers will find you"
2,tampabaytransmission.com,yes,yes,-,2019,,(727) 645-2686,"the site looks unmaintained — the footer still shows 2019"
5,turnertransmissionservice.com,no,yes,-,,,889 100.0299,"the site loads without HTTPS, so browsers show visitors a "Not Secure" warning"
0,brooksvilletransmissionrepairs.com,yes,yes,-,,,(352) 796-6544,"the site is dated and plain — a modern refresh would stand out"
0,orlandotransmissionrepair.com,yes,yes,-,2026,,(407) 203-1217,"the site is dated and plain — a modern refresh would stand out"
4,allmasterstransmissions.com,yes,no,-,,,,"the site doesn't resize for phones, which is where most customers will find you"
0,miamitransmission.net,yes,yes,-,,shop@aactiontransmission.com,(305) 452-0628,"the site is dated and plain — a modern refresh would stand out"
0,cjstransmission.com,yes,yes,-,,,(352) 489-5580,"the site is dated and plain — a modern refresh would stand out"
0,dadecitytransmission.net,yes,yes,-,,wfoughty67@hotmail.com,(352) 518-0002,"the site is dated and plain — a modern refresh would stand out"
0,madhatterexhaust.com,yes,yes,-,,,813-933-4179,"the site is dated and plain — a modern refresh would stand out"
0,randlmufflerclearwater.com,yes,yes,-,,ronmorse22@bellsouth.net,(727) 442-2930,"the site is dated and plain — a modern refresh would stand out"
0,topgunperformancemuffler.com,yes,yes,-,,t3corp@cox.net,850-863-2613,"the site is dated and plain — a modern refresh would stand out"
0,ricksmufflerman.com,yes,yes,-,,ricksmufflershop@bellsouth.net,904-824-8978,"the site is dated and plain — a modern refresh would stand out"
0,bestsewingandvacuum.com,yes,yes,-,2026,,904-262-6750,"the site is dated and plain — a modern refresh would stand out"
0,vacuumandsewingexperts.com,yes,yes,-,,your@email.com,(561) 496-3930,"the site is dated and plain — a modern refresh would stand out"
0,gatorvacuum.com,yes,yes,-,2027,support@gatorvacuum.com,954-341-4323,"the site is dated and plain — a modern refresh would stand out"
0,tampaelectronicfix.com,yes,yes,Wix,2025,TampaElectronicFix@gmail.com,813-770-2521,"the site is dated and plain — a modern refresh would stand out"
8,plantcityelectronicsrepair.com,no,no,-,,,,"the site loads without HTTPS, so browsers show visitors a "Not Secure" warning"
0,orlandoelectronicstv.com,yes,yes,-,2026,,(407) 895-5535,"the site is dated and plain — a modern refresh would stand out"
2,mohtv.com,yes,yes,GoDaddy,2018,,(305) 255-0626,"the site looks unmaintained — the footer still shows 2018"
